year,composer,piece,composed
1983,(arr),Christmas Music for Orchestra,NA
1982,(arr),Ukrainian Folk Dances,NA
2019,Abe,Prism Rhapsody,NA
1996,Adam,Cantique de Noel,NA
2022,Adams,Short Ride in a Fast Machine,1986
1980,Anderson,A Christmas Festival,1950
2007,Anderson,A Christmas Festival,1950
1998,Applebaum,Place Setting,NA
2000,Archer,Fanfare and Passacaglia,1949
2000,Archer,Sinfonietta,1968
1987,Arnord,Concerto for Two Pianos,NA
1980,Arteaga,Steps,2008
1998,Atterberg,Suite for Violin and Viola and String Orchestra,NA
1980,Bach,Brandenburg Concerto #4,1719
1988,Bach,Concerto for Violin & Oboe,NA
1995,Bach,Double Concerto,NA
2007,Bach,"Music for Brass – Jesu, Joy of Man’s Desire,",NA
1986,Bach,Orchestral Suite #3,1731
1981,Bach,Overture in B minor,1738
1990,Bach,Sinfonia from Easter Oratorio,NA
2004,Bach,Symphony in D,NA
1999,Baker,Concerto for Flute and String Orchestra,NA
2009,Baker,Harp Concerto,NA
2019,Baker,"Harp Concerto, 3rd Mvt: Siguirya",NA
1996,Baker,Through Lion's Gate,NA
2014,Ballard/Silvestri,Polar Express Concert Suite,NA
2002,Barber,Adagio,1936
2002,Barber,Knoxville: Summer of 1915,1947
2001,Barber,Violin Concerto,1939
2014,Barber,Violin Concerto,1939
2003,Bartok,Roumanian Folk Dances,1917
2018,Beach,Symphony #1,1896
2003,Beethoven,Coriolan Overture,1807
2015,Beethoven,Coriolan Overture,1807
2022,Beethoven,Coriolan Overture,1807
1995,Beethoven,Coriolan Overture,1807
2015,Beethoven,Creatures of Prometheus Overture,1801
1997,Beethoven,Creatures of Prometheus Overture,1801
1993,Beethoven,Egmont Overture,1810
2003,Beethoven,Egmont Overture,1810
2010,Beethoven,Egmont Overture,1810
2014,Beethoven,Egmont Overture,1810
1978,Beethoven,Leonore Overture #3,1806
1981,Beethoven,Leonore Overture #3,1806
2006,Beethoven,Overture to Fidelio,1814
2005,Beethoven,Piano Concerto #1,1795
1986,Beethoven,Piano Concerto #2,1795
2022,Beethoven,Piano Concerto #2,1795
1989,Beethoven,Piano Concerto #3,1800
2013,Beethoven,Piano Concerto #3,1800
2022,Beethoven,Piano Concerto #5,1809
1983,Beethoven,Piano Concerto #5,1809
1999,Beethoven,Piano Concerto #5,1811
2009,Beethoven,Symphony #1,1800
1982,Beethoven,Symphony #2,1802
2012,Beethoven,Symphony #3,1804
1998,Beethoven,Symphony #4,1806
1978,Beethoven,Symphony #5,1808
1994,Beethoven,Symphony #5,1808
2001,Beethoven,Symphony #5,1808
2017,Beethoven,Symphony #5,1808
1986,Beethoven,Symphony #6,1808
2005,Beethoven,Symphony #6,1808
1990,Beethoven,Symphony #7,1812
1997,Beethoven,Symphony #7,1812
2011,Beethoven,Symphony #7,1812
1979,Beethoven,Symphony #8,1812
2010,Beethoven,Symphony #8,1812
2014,Beethoven,Symphony #9,1824
2008,Beethoven,Symphony #9,1824
2001,Beethoven,The Ruins of Athens Overture,1811
2007,Beethoven,"Triple Concerto for Piano, Violin and Cello",1804
2024,Beethoven,"Triple Concerto for Piano, Violin and Cello",1804
1987,Beethoven,Violin Concerto,1806
1997,Beethoven,Violin Concerto,1806
2018,Beethoven,Violin Concerto,1806
2002,Berlioz,Beatrice & Benedict Overture,1862
2008,Berlioz,La Damnation de Faust – Rakoczy March,1846
2024,Berlioz,La Damnation de Faust – Rakoczy March,1846
1983,Berlioz,Roman Carnival Overture,1844
1987,Berlioz,Roman Carnival Overture,1844
2015,Berlioz,Roman Carnival Overture,1844
1988,Berlioz,Summer Nights,NA
1994,Berlioz,Symphonie Fantastique,1830
2009,Berlioz,Symphonie Fantastique,1830
1994,Bernstein,"Don’t Cry for Me Argentina, Somewhere",NA
2012,Bernstein,Overture to Candide,1956
1985,Bernstein,Overture to Candide,1956
1994,Bernstein,Overture to Candide,1956
1994,Bernstein,West Side Story,NA
1994,Berr/Rossini,"Introduction, Theme and Variations",NA
2023,Bizet,Carmen Overture,1875
1992,Bizet,Carmen Suite #1,1875
1995,Bizet,Carmen Suite #1,1875
1978,Bizet,L’Arlesienne Suite #2,1872
2005,Bizet,L’Arlesienne Suite #2,1872
2011,Bizet,March of the Toreadors from Carmen,1875
1983,Bizet,Symphony #1,1855
